log,fault_type
Sensor reading inconsistent with adjacent sensor values Engineer notified.,sensor_drift
"Data dropout from sensor cluster, wiring inspected Repair completed.",sensor_drift
"Temperature sensor showing offset, calibration performed Parts ordered.",sensor_drift
Thermal fatigue marks found on turbine nozzle guide vanes Follow-up scheduled.,turbine_blade_damage
"High frequency noise from bearing, excessive heat noted Repair completed.",bearing_wear
"Inlet pressure ratio declining, compressor washed Follow-up scheduled.",compressor_degradation
"Abnormal fuel consumption reported, filter replaced Repair completed.",fuel_system
Thermal fatigue marks found on turbine nozzle guide vanes Follow-up scheduled.,turbine_blade_damage
"Compressor stall detected, inlet guide vanes adjusted Work order raised.",compressor_degradation
"Turbine exit temperature spike, blade inspection required Parts ordered.",turbine_blade_damage
"Compressor stall detected, inlet guide vanes adjusted Monitoring continues.",compressor_degradation
"Compressor efficiency drop, blade fouling suspected Engineer notified.",compressor_degradation
Sensor reading inconsistent with adjacent sensor values Parts ordered.,sensor_drift
"Fuel flow rate inconsistent, injector cleaned and tested",fuel_system
"Engine stall during acceleration, fuel pump inspected Engineer notified.",fuel_system
"Turbine blade tip clearance out of spec, adjusted Monitoring continues.",turbine_blade_damage
"Fuel line blockage cleared, pressure restored to normal Monitoring continues.",fuel_system
Thermal fatigue marks found on turbine nozzle guide vanes Monitoring continues.,turbine_blade_damage
"Pressure transducer drift detected, recalibrated Parts ordered.",sensor_drift
"Fuel leak detected near injector nozzle, seal replaced Repair completed.",fuel_system
"Rattling noise during startup, bearing wear confirmed",bearing_wear
Crack detected on turbine blade during visual inspection Work order raised.,turbine_blade_damage
Thermal fatigue marks found on turbine nozzle guide vanes Engineer notified.,turbine_blade_damage
"Temperature sensor showing offset, calibration performed Engineer notified.",sensor_drift
"Turbine exit temperature spike, blade inspection required Monitoring continues.",turbine_blade_damage
"Hot section damage suspected, borescope inspection done Repair completed.",turbine_blade_damage
"Compressor stall detected, inlet guide vanes adjusted Monitoring continues.",compressor_degradation
"Hot section damage suspected, borescope inspection done Parts ordered.",turbine_blade_damage
Thermal fatigue marks found on turbine nozzle guide vanes Follow-up scheduled.,turbine_blade_damage
"Rattling noise during startup, bearing wear confirmed Repair completed.",bearing_wear
"Pressure transducer drift detected, recalibrated Engineer notified.",sensor_drift
Crack detected on turbine blade during visual inspection Work order raised.,turbine_blade_damage
"Flow coefficient reduced, compressor blades inspected Follow-up scheduled.",compressor_degradation
Abnormal compressor discharge temperature logged Engineer notified.,compressor_degradation
"Compressor efficiency drop, blade fouling suspected Monitoring continues.",compressor_degradation
"Rattling noise during startup, bearing wear confirmed Monitoring continues.",bearing_wear
"Bearing temperature exceeded threshold, lubrication checked Follow-up scheduled.",bearing_wear
"Hot section damage suspected, borescope inspection done Parts ordered.",turbine_blade_damage
Sensor bias confirmed after cross-check with backup,sensor_drift
"Fuel line blockage cleared, pressure restored to normal Monitoring continues.",fuel_system
Unusual vibration detected in main bearing assembly Follow-up scheduled.,bearing_wear
"Bearing temperature exceeded threshold, lubrication checked Follow-up scheduled.",bearing_wear
Sensor reading inconsistent with adjacent sensor values,sensor_drift
"Fuel leak detected near injector nozzle, seal replaced Repair completed.",fuel_system
"Compressor efficiency drop, blade fouling suspected",compressor_degradation
"Turbine exit temperature spike, blade inspection required Parts ordered.",turbine_blade_damage
"Abnormal fuel consumption reported, filter replaced Parts ordered.",fuel_system
"Fuel leak detected near injector nozzle, seal replaced Monitoring continues.",fuel_system
"Flow coefficient reduced, compressor blades inspected",compressor_degradation
"Turbine exit temperature spike, blade inspection required Parts ordered.",turbine_blade_damage
"Engine stall during acceleration, fuel pump inspected Follow-up scheduled.",fuel_system
"Surge event recorded, compressor map reviewed Parts ordered.",compressor_degradation
"Inlet pressure ratio declining, compressor washed Work order raised.",compressor_degradation
"Metal shavings found in oil filter, bearing inspection done Engineer notified.",bearing_wear
"Rattling noise during startup, bearing wear confirmed Work order raised.",bearing_wear
"Compressor stall detected, inlet guide vanes adjusted Monitoring continues.",compressor_degradation
Thermal fatigue marks found on turbine nozzle guide vanes Work order raised.,turbine_blade_damage
"Vibration amplitude increasing, bearing replacement scheduled Repair completed.",bearing_wear
Sensor reading inconsistent with adjacent sensor values Parts ordered.,sensor_drift
"Inlet pressure ratio declining, compressor washed Monitoring continues.",compressor_degradation
"Data dropout from sensor cluster, wiring inspected Parts ordered.",sensor_drift
"Erratic sensor output during cold start, replaced",sensor_drift
"Metal shavings found in oil filter, bearing inspection done Parts ordered.",bearing_wear
"Temperature sensor showing offset, calibration performed",sensor_drift
"Rattling noise during startup, bearing wear confirmed Repair completed.",bearing_wear
"Vibration amplitude increasing, bearing replacement scheduled Parts ordered.",bearing_wear
Unusual vibration detected in main bearing assembly Parts ordered.,bearing_wear
"Surge event recorded, compressor map reviewed Work order raised.",compressor_degradation
"Fuel leak detected near injector nozzle, seal replaced Repair completed.",fuel_system
Unusual vibration detected in main bearing assembly Follow-up scheduled.,bearing_wear
"Turbine exit temperature spike, blade inspection required Parts ordered.",turbine_blade_damage
"Engine stall during acceleration, fuel pump inspected Monitoring continues.",fuel_system
"Turbine exit temperature spike, blade inspection required Engineer notified.",turbine_blade_damage
"Metal shavings found in oil filter, bearing inspection done Parts ordered.",bearing_wear
"Data dropout from sensor cluster, wiring inspected Parts ordered.",sensor_drift
"Engine stall during acceleration, fuel pump inspected Follow-up scheduled.",fuel_system
"Turbine blade tip clearance out of spec, adjusted Follow-up scheduled.",turbine_blade_damage
Thermal fatigue marks found on turbine nozzle guide vanes Parts ordered.,turbine_blade_damage
Exhaust gas temperature spread increased significantly,turbine_blade_damage
"Fuel flow rate inconsistent, injector cleaned and tested Repair completed.",fuel_system
Exhaust gas temperature spread increased significantly Repair completed.,turbine_blade_damage
Fuel pressure drop observed during high load operation Monitoring continues.,fuel_system
Crack detected on turbine blade during visual inspection Work order raised.,turbine_blade_damage
"Inlet pressure ratio declining, compressor washed Repair completed.",compressor_degradation
Abnormal compressor discharge temperature logged Work order raised.,compressor_degradation
Sensor bias confirmed after cross-check with backup Follow-up scheduled.,sensor_drift
"Data dropout from sensor cluster, wiring inspected Monitoring continues.",sensor_drift
Sensor bias confirmed after cross-check with backup Repair completed.,sensor_drift
"Fuel flow rate inconsistent, injector cleaned and tested Follow-up scheduled.",fuel_system
"Fuel leak detected near injector nozzle, seal replaced Engineer notified.",fuel_system
"Vibration amplitude increasing, bearing replacement scheduled",bearing_wear
Abnormal compressor discharge temperature logged Monitoring continues.,compressor_degradation
"Turbine exit temperature spike, blade inspection required Follow-up scheduled.",turbine_blade_damage
"Compressor stall detected, inlet guide vanes adjusted Repair completed.",compressor_degradation
Thermal fatigue marks found on turbine nozzle guide vanes Follow-up scheduled.,turbine_blade_damage
"Inlet pressure ratio declining, compressor washed Follow-up scheduled.",compressor_degradation
Sensor reading inconsistent with adjacent sensor values Follow-up scheduled.,sensor_drift
"Turbine blade tip clearance out of spec, adjusted Repair completed.",turbine_blade_damage
Unusual vibration detected in main bearing assembly Work order raised.,bearing_wear
"Flow coefficient reduced, compressor blades inspected Follow-up scheduled.",compressor_degradation
"Abnormal fuel consumption reported, filter replaced Repair completed.",fuel_system
Unusual vibration detected in main bearing assembly Monitoring continues.,bearing_wear
Sensor bias confirmed after cross-check with backup,sensor_drift
Sensor reading inconsistent with adjacent sensor values Repair completed.,sensor_drift
Abnormal compressor discharge temperature logged,compressor_degradation
"Vibration amplitude increasing, bearing replacement scheduled",bearing_wear
"Abnormal fuel consumption reported, filter replaced Work order raised.",fuel_system
"Bearing temperature exceeded threshold, lubrication checked Repair completed.",bearing_wear
"Turbine blade tip clearance out of spec, adjusted Repair completed.",turbine_blade_damage
"Flow coefficient reduced, compressor blades inspected Parts ordered.",compressor_degradation
Abnormal compressor discharge temperature logged Monitoring continues.,compressor_degradation
Abnormal compressor discharge temperature logged,compressor_degradation
"Engine stall during acceleration, fuel pump inspected Parts ordered.",fuel_system
"Metal shavings found in oil filter, bearing inspection done Engineer notified.",bearing_wear
"Abnormal fuel consumption reported, filter replaced Monitoring continues.",fuel_system
"Temperature sensor showing offset, calibration performed Monitoring continues.",sensor_drift
"Flow coefficient reduced, compressor blades inspected Repair completed.",compressor_degradation
"Fuel line blockage cleared, pressure restored to normal",fuel_system
Exhaust gas temperature spread increased significantly Follow-up scheduled.,turbine_blade_damage
"Fuel flow rate inconsistent, injector cleaned and tested",fuel_system
"Rattling noise during startup, bearing wear confirmed Monitoring continues.",bearing_wear
"Fuel leak detected near injector nozzle, seal replaced Parts ordered.",fuel_system
"Turbine blade tip clearance out of spec, adjusted Monitoring continues.",turbine_blade_damage
"Fuel leak detected near injector nozzle, seal replaced Work order raised.",fuel_system
"Fuel leak detected near injector nozzle, seal replaced Follow-up scheduled.",fuel_system
"Metal shavings found in oil filter, bearing inspection done Parts ordered.",bearing_wear
"Data dropout from sensor cluster, wiring inspected",sensor_drift
"Data dropout from sensor cluster, wiring inspected",sensor_drift
"Turbine exit temperature spike, blade inspection required Work order raised.",turbine_blade_damage
"Pressure transducer drift detected, recalibrated Engineer notified.",sensor_drift
Abnormal compressor discharge temperature logged Repair completed.,compressor_degradation
"Temperature sensor showing offset, calibration performed",sensor_drift
"Compressor efficiency drop, blade fouling suspected Monitoring continues.",compressor_degradation
"Data dropout from sensor cluster, wiring inspected Follow-up scheduled.",sensor_drift
Fuel pressure drop observed during high load operation Repair completed.,fuel_system
"Surge event recorded, compressor map reviewed Parts ordered.",compressor_degradation
"Erratic sensor output during cold start, replaced Work order raised.",sensor_drift
"Flow coefficient reduced, compressor blades inspected Engineer notified.",compressor_degradation
Crack detected on turbine blade during visual inspection,turbine_blade_damage
"Vibration amplitude increasing, bearing replacement scheduled",bearing_wear
Crack detected on turbine blade during visual inspection Engineer notified.,turbine_blade_damage
Exhaust gas temperature spread increased significantly Engineer notified.,turbine_blade_damage
Abnormal compressor discharge temperature logged Engineer notified.,compressor_degradation
Crack detected on turbine blade during visual inspection Parts ordered.,turbine_blade_damage
"Compressor stall detected, inlet guide vanes adjusted Follow-up scheduled.",compressor_degradation
Unusual vibration detected in main bearing assembly Follow-up scheduled.,bearing_wear
"Inlet pressure ratio declining, compressor washed Engineer notified.",compressor_degradation
"Flow coefficient reduced, compressor blades inspected Follow-up scheduled.",compressor_degradation
Sensor bias confirmed after cross-check with backup Engineer notified.,sensor_drift
Thermal fatigue marks found on turbine nozzle guide vanes,turbine_blade_damage
Fuel pressure drop observed during high load operation Monitoring continues.,fuel_system
"Bearing temperature exceeded threshold, lubrication checked Engineer notified.",bearing_wear
"Fuel line blockage cleared, pressure restored to normal Engineer notified.",fuel_system
"Surge event recorded, compressor map reviewed Monitoring continues.",compressor_degradation
Unusual vibration detected in main bearing assembly Parts ordered.,bearing_wear
Fuel pressure drop observed during high load operation Parts ordered.,fuel_system
"Data dropout from sensor cluster, wiring inspected Engineer notified.",sensor_drift
"High frequency noise from bearing, excessive heat noted Parts ordered.",bearing_wear
"Engine stall during acceleration, fuel pump inspected Parts ordered.",fuel_system
"Erratic sensor output during cold start, replaced Parts ordered.",sensor_drift
Abnormal compressor discharge temperature logged Work order raised.,compressor_degradation
Abnormal compressor discharge temperature logged Monitoring continues.,compressor_degradation
"Abnormal fuel consumption reported, filter replaced Engineer notified.",fuel_system
"Turbine exit temperature spike, blade inspection required Follow-up scheduled.",turbine_blade_damage
"Abnormal fuel consumption reported, filter replaced Monitoring continues.",fuel_system
Exhaust gas temperature spread increased significantly Monitoring continues.,turbine_blade_damage
"High frequency noise from bearing, excessive heat noted",bearing_wear
Thermal fatigue marks found on turbine nozzle guide vanes Follow-up scheduled.,turbine_blade_damage
"Erratic sensor output during cold start, replaced Work order raised.",sensor_drift
"Vibration amplitude increasing, bearing replacement scheduled Engineer notified.",bearing_wear
"Fuel leak detected near injector nozzle, seal replaced Repair completed.",fuel_system
"Rattling noise during startup, bearing wear confirmed Repair completed.",bearing_wear
"Surge event recorded, compressor map reviewed Parts ordered.",compressor_degradation
"Engine stall during acceleration, fuel pump inspected Work order raised.",fuel_system
"Fuel leak detected near injector nozzle, seal replaced Engineer notified.",fuel_system
"Inlet pressure ratio declining, compressor washed Work order raised.",compressor_degradation
"Bearing temperature exceeded threshold, lubrication checked Parts ordered.",bearing_wear
Exhaust gas temperature spread increased significantly,turbine_blade_damage
"Metal shavings found in oil filter, bearing inspection done Work order raised.",bearing_wear
"Hot section damage suspected, borescope inspection done Repair completed.",turbine_blade_damage
"Metal shavings found in oil filter, bearing inspection done Repair completed.",bearing_wear
"Bearing temperature exceeded threshold, lubrication checked Engineer notified.",bearing_wear
"Abnormal fuel consumption reported, filter replaced Engineer notified.",fuel_system
Sensor bias confirmed after cross-check with backup Monitoring continues.,sensor_drift
"Compressor efficiency drop, blade fouling suspected Work order raised.",compressor_degradation
"Vibration amplitude increasing, bearing replacement scheduled",bearing_wear
